# Automatically converted.
SECTION_HORIZON
7

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
0,1,
1,1,
2,1,

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,0=7|1=7|2=7,6,4,5,1,1,1000
B,0=7|1=7|2=7,6,4,5,1,1,1000
C,0=7|1=7|2=7,6,4,5,1,1,1000
D,0=7|1=7|2=7,6,4,5,1,1,1000
E,0=7|1=7|2=7,6,4,5,1,1,1000
F,0=7|1=7|2=7,6,4,5,1,1,1000
G,0=7|1=7|2=7,6,4,5,1,1,1000
H,0=7|1=7|2=7,6,4,5,1,1,1000
I,0=7|1=7|2=7,6,4,5,1,1,1000
J,0=7|1=7|2=7,6,4,5,1,1,1000
K,0=7|1=7|2=7,6,4,5,1,1,1000
L,0=7|1=7|2=7,6,4,5,1,1,1000
M,0=7|1=7|2=7,6,4,5,1,1,1000
N,0=7|1=7|2=7,6,4,5,1,1,1000
O,0=7|1=7|2=7,6,4,5,1,1,1000
P,0=7|1=7|2=7,6,4,5,1,1,1000
Q,0=7|1=7|2=7,6,4,5,1,1,1000
R,0=7|1=7|2=7,6,4,5,1,1,1000
S,0=7|1=7|2=7,6,4,5,1,1,1000
T,0=7|1=7|2=7,6,4,5,1,1,1000
U,0=7|1=7|2=7,6,4,5,1,1,1000
V,0=7|1=7|2=7,6,4,5,1,1,1000
W,0=7|1=7|2=7,6,4,5,1,1,1000
X,0=7|1=7|2=7,6,4,5,1,1,1000
Y,0=7|1=7|2=7,6,4,5,1,1,1000

SECTION_DAYS_OFF

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight

SECTION_SHIFT_OFF_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,0,0,4
A,0,1,2
A,0,2,4
A,1,0,3
A,1,1,1
A,1,2,1
A,2,0,4
A,2,1,2
A,2,2,4
A,3,0,4
A,3,1,2
A,3,2,4
A,4,0,4
A,4,1,2
A,4,2,4
A,5,0,3
A,5,1,1
A,5,2,1
A,6,0,3
A,6,1,1
A,6,2,1
B,0,0,1
B,0,1,1
B,0,2,1
B,1,0,2
B,1,1,1
B,1,2,1
B,2,0,1
B,2,1,1
B,2,2,1
B,3,0,1
B,3,1,1
B,3,2,1
B,4,0,1
B,4,1,1
B,4,2,1
B,5,0,2
B,5,1,1
B,5,2,1
B,6,0,2
B,6,1,1
B,6,2,1
C,0,0,1
C,0,1,2
C,0,2,1
C,1,0,2
C,1,1,1
C,1,2,1
C,2,0,1
C,2,1,2
C,2,2,1
C,3,0,1
C,3,1,2
C,3,2,1
C,4,0,1
C,4,1,2
C,4,2,1
C,5,0,2
C,5,1,1
C,5,2,1
C,6,0,2
C,6,1,1
C,6,2,1
D,0,0,4
D,0,1,2
D,0,2,4
D,1,0,2
D,1,1,2
D,1,2,2
D,2,0,4
D,2,1,2
D,2,2,4
D,3,0,4
D,3,1,2
D,3,2,4
D,4,0,4
D,4,1,2
D,4,2,4
D,5,0,2
D,5,1,2
D,5,2,2
D,6,0,2
D,6,1,2
D,6,2,2
E,0,0,4
E,0,1,1
E,0,2,4
E,1,0,1
E,1,1,1
E,1,2,1
E,2,0,4
E,2,1,1
E,2,2,4
E,3,0,4
E,3,1,1
E,3,2,4
E,4,0,4
E,4,1,1
E,4,2,4
E,5,0,1
E,5,1,1
E,5,2,1
E,6,0,1
E,6,1,1
E,6,2,1
F,0,0,4
F,0,1,4
F,0,2,4
F,1,0,4
F,1,1,4
F,1,2,4
F,2,0,4
F,2,1,4
F,2,2,4
F,3,0,4
F,3,1,4
F,3,2,4
F,4,0,4
