# This is a comment. Comments start with #

SECTION_HORIZON
# All instances start at 06:00 on the first day and finish at 06:00 on the last day.
# The planning horizon length in days:
2

SECTION_TASKS
# The number of different tasks
3

SECTION_STAFF
# ID, MinTotalMinutes, MaxTotalMinutes
1,200,800
2,400,1000
3,500,900

SECTION_COVER
# Day, Time, TaskID, Min, Max
1,06:00-06:15,1,0,1
1,06:15-06:30,1,0,1
1,06:30-06:45,1,0,1
1,06:45-07:00,1,0,1
1,07:00-07:15,1,0,1
1,07:15-07:30,1,0,1
1,07:30-07:45,1,0,1
1,07:45-08:00,1,0,1
1,08:00-08:15,1,0,1
1,08:15-08:30,1,0,1
1,08:30-08:45,1,0,2
1,08:45-09:00,1,0,2
1,09:00-09:15,1,0,1
1,09:15-09:30,1,0,1
1,09:30-09:45,1,0,1
1,09:45-10:00,1,0,1
1,10:00-10:15,1,0,2
1,10:15-10:30,1,0,1
1,10:30-10:45,1,0,1
1,10:45-11:00,1,0,1
1,11:00-11:15,1,0,1
1,11:15-11:30,1,0,2
1,11:30-11:45,1,0,2
1,11:45-12:00,1,0,1
1,12:00-12:15,1,0,1
1,12:15-12:30,1,0,2
1,12:30-12:45,1,0,1
1,12:45-13:00,1,0,1
1,13:00-13:15,1,0,1
1,13:15-13:30,1,0,1
1,13:30-13:45,1,0,1
1,13:45-14:00,1,0,1
1,14:00-14:15,1,0,1
1,14:15-14:30,1,0,2
1,14:30-14:45,1,0,1
1,14:45-15:00,1,0,1
1,15:00-15:15,1,0,1
1,15:15-15:30,1,0,2
1,15:30-15:45,1,0,1
1,15:45-16:00,1,0,1
1,16:00-16:15,1,0,2
1,16:15-16:30,1,0,1
1,16:30-16:45,1,0,1
1,16:45-17:00,1,0,1
1,17:00-17:15,1,0,1
1,17:15-17:30,1,0,1
1,17:30-17:45,1,0,1
1,17:45-18:00,1,0,1
1,18:00-18:15,1,0,2
1,18:15-18:30,1,0,1
1,18:30-18:45,1,0,1
1,18:45-19:00,1,0,2
1,19:00-19:15,1,0,1
1,19:15-19:30,1,0,1
1,19:30-19:45,1,0,1
1,19:45-20:00,1,0,2
1,20:00-20:15,1,0,1
1,20:15-20:30,1,0,2
1,20:30-20:45,1,0,1
1,20:45-21:00,1,0,1
1,21:00-21:15,1,0,1
1,21:15-21:30,1,0,2
1,21:30-21:45,1,0,2
1,21:45-22:00,1,0,2
1,22:00-22:15,1,0,2
1,22:15-22:30,1,0,1
1,22:30-22:45,1,0,1
1,22:45-23:00,1,0,1
1,23:00-23:15,1,0,1
1,23:15-23:30,1,0,1
1,23:30-23:45,1,0,1
1,23:45-00:00,1,0,2
2,00:00-00:15,1,0,2
2,00:15-00:30,1,0,2
2,00:30-00:45,1,0,1
2,00:45-01:00,1,0,1
2,01:00-01:15,1,0,1
2,01:15-01:30,1,0,1
2,01:30-01:45,1,0,1
2,01:45-02:00,1,0,2
2,02:00-02:15,1,0,1
2,02:15-02:30,1,0,1
2,02:30-02:45,1,0,2
2,02:45-03:00,1,0,1
2,03:00-03:15,1,0,1
