# This is a comment. Comments start with #

SECTION_HORIZON
# All instances start at 06:00 on the first day and finish at 06:00 on the last day.
# The planning horizon length in days:
7

SECTION_TASKS
# The number of different tasks
19

SECTION_STAFF
# ID, MinTotalMinutes, MaxTotalMinutes
1,2220,2400
2,2100,2400
3,2280,2400
4,780,2400
5,2100,2400
6,2220,2400
7,2220,2400
8,2160,2400
9,960,1200
10,900,1200
11,1440,2400
12,720,1200
13,2280,2400
14,2160,2400
15,2160,2400
16,2220,2400
17,900,1200
18,2160,2400
19,2100,2400
20,2160,2400
21,2160,2400
22,2220,2400
23,960,1200
24,2280,2400
25,1020,2400
26,2160,2400
27,1440,2400
28,2040,2400
29,2040,2400
30,2160,2400
31,900,1200
32,1860,2400
33,2160,2400
34,780,2400
35,1080,1200
36,2160,2400
37,2100,2400
38,2160,2400
39,1020,1200
40,1020,1200
41,900,1200
42,780,2400
43,2160,2400
44,1080,2400
45,900,1200
46,2100,2400
47,2220,2400
48,1980,2400
49,840,1200
50,780,1200
51,960,1200
52,2040,2400
53,2220,2400
54,2220,2400
55,2100,2400
56,2160,2400
57,960,1200
58,2100,2400
59,1080,1200
60,1080,1200
61,1020,1200
62,2160,2400
63,2220,2400
64,2160,2400
65,2160,2400
66,900,1200
67,1380,2400
68,2040,2400
69,2220,2400
70,2100,2400
71,2040,2400
72,1140,2400
73,2220,2400
74,1920,2400
75,1080,1200
76,2280,2400
77,1200,1200
78,1140,1200
79,2220,2400
80,780,1200
81,1020,1200
82,1140,1200
83,1200,1200
84,2040,2400
85,2280,2400
86,2280,2400
87,840,1200
88,2160,2400
89,780,1200
90,2220,2400
91,1440,2400
92,1500,2400
93,2220,2400
94,720,1200
95,900,2400
96,2100,2400
97,2220,2400
98,1020,1200
99,2040,2400
100,780,1200
101,2220,2400
102,2220,2400
103,840,1200
104,2160,2400
105,2040,2400
106,2280,2400
107,1200,1200
108,2100,2400
109,780,1200
110,1080,1200
111,2160,2400
112,2100,2400
113,1800,2400
114,2040,2400
115,2220,2400
116,1800,2400
