# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
42

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
E,480,
D,480,
L,480,E|D
N,600,E|D|L

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
B,E=0|D=42|L=0|N=5,12960,12000,5,2,2,3
C,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
D,E=0|D=42|L=21|N=0,12960,12000,5,2,2,3
E,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
F,E=0|D=42|L=21|N=0,12960,12000,5,2,2,3
G,E=0|D=42|L=21|N=5,12960,12000,5,2,2,3
H,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
I,E=21|D=42|L=0|N=5,12960,12000,5,2,2,3
J,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
K,E=21|D=42|L=21|N=0,12960,12000,5,2,2,3
L,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
M,E=0|D=42|L=0|N=0,12960,12000,5,2,2,3
N,E=21|D=42|L=0|N=5,12960,12000,5,2,2,3
O,E=0|D=42|L=21|N=0,12960,12000,5,2,2,3
P,E=0|D=42|L=0|N=5,12960,12000,5,2,2,3
Q,E=0|D=42|L=21|N=0,12960,12000,5,2,2,3
R,E=21|D=42|L=0|N=5,12960,12000,5,2,2,3
S,E=21|D=42|L=21|N=5,12960,12000,5,2,2,3
T,E=0|D=42|L=21|N=0,12960,12000,5,2,2,3
U,E=21|D=42|L=21|N=0,12960,12000,6,2,3,3
V,E=21|D=42|L=21|N=0,12960,12000,6,2,3,3
W,E=0|D=42|L=21|N=5,12960,12000,6,2,3,3
X,E=21|D=42|L=0|N=5,12960,12000,6,2,3,3
Y,E=21|D=42|L=0|N=0,12960,12000,6,2,3,3
Z,E=21|D=42|L=0|N=5,12960,12000,6,2,3,3
AA,E=0|D=42|L=21|N=5,12960,12000,6,2,3,3
AB,E=10|D=42|L=0|N=0,6480,5520,5,1,2,3
AC,E=10|D=42|L=10|N=2,6480,5520,5,1,2,3
AD,E=10|D=42|L=10|N=2,6480,5520,5,1,2,3
AE,E=10|D=42|L=10|N=2,6480,5520,5,1,2,3
AF,E=10|D=42|L=0|N=0,6480,5520,5,1,2,3

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A,14,15,16,17
B,19,20,39,40
C,11,16,17,40
D,18,19,20,21
E,17,18,19,20
F,13,24,25,26
G,10,11,39,40
H,35,36,37,38
I,26,27,28,31
J,1,2,31,32
K,3,4,5,6
L,1,7,25,26
M,23,24,25,26
N,2,3,12,13
O,14,15,16,17
P,20,33,34,35
Q,27,28,31,32
R,29,30,31,32
S,19,24,25,26
T,28,31,32,33
U,0,1,2,37
V,7,30,34,35
W,7,8,9,10
X,1,30,31,32
Y,0,10,11,12
Z,11,36,37,38
AA,26,39,40,41
AB,14,24,25,32
AC,34,35,36,37
AD,17,18,19,20
AE,6,8,21,25
AF,7,8,9,10

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,0,D,3
A,19,E,2
A,20,E,2
A,21,E,2
A,22,E,2
A,36,L,3
A,37,L,3
A,38,L,3
A,39,L,3
B,9,N,2
B,10,N,2
B,11,N,2
B,23,D,2
B,24,D,2
B,25,D,2
B,26,D,2
B,30,D,2
B,31,D,2
B,32,D,2
B,33,D,2
C,3,N,3
C,4,N,3
C,18,E,1
C,19,E,1
C,37,N,3
D,12,L,2
D,13,L,2
E,0,L,1
E,1,L,1
E,5,D,2
E,6,D,2
E,12,L,1
E,13,L,1
E,14,L,1
E,15,L,1
E,16,L,1
E,21,L,3
E,22,L,3
E,23,L,3
E,24,L,3
E,25,L,3
F,0,D,3
F,1,D,3
F,2,D,3
F,3,D,3
F,15,L,3
F,16,L,3
F,17,L,3
F,18,L,3
F,27,L,3
F,28,L,3
F,29,L,3
G,1,N,3
G,32,N,3
H,3,E,2
H,4,E,2
H,8,E,1
H,9,E,1
H,10,E,1
H,11,E,1
H,23,N,2
H,24,N,2
H,25,N,2
I,5,N,2
J,13,N,1
J,14,N,1
J,15,N,1
J,22,E,1
J,23,E,1
J,27,D,1
J,28,D,1
J,29,D,1
J,30,D,1
J,34,N,2
J,35,N,2
J,36,N,2
J,37,N,2
J,38,N,2
K,13,L,2
K,14,L,2
K,15,L,2
K,16,L,2
K,17,L,2
K,21,L,2
K,26,E,2
K,27,E,2
K,28,E,2
K,29,E,2
K,38,D,1
L,2,E,3
L,3,E,3
L,4,E,3
L,5,E,3
L,6,E,3
M,5,D,3
M,6,D,3
M,28,D,3
M,29,D,3
M,30,D,3
M,31,D,3
N,5,E,3
N,6,E,3
N,7,E,3
N,34,N,2
N,35,N,2
O,11,L,1
O,29,L,3
O,30,L,3
O,31,L,3
O,32,L,3
O,33,L,3
P,2,N,3
P,3,N,3
P,8,D,3
P,9,D,3
P,10,D,3
P,11,D,3
P,12,D,3
P,37,D,2
Q,2,L,1
Q,7,L,1
Q,8,L,1
Q,9,L,1
Q,10,L,1
Q,11,L,1
R,2,E,1
R,8,E,2
R,9,E,2
R,10,E,2
R,11,E,2
R,12,E,2
R,21,D,2
R,22,D,2
R,23,D,2
R,24,D,2
R,37,N,1
R,38,N,1
S,4,N,2
S,5,N,2
S,6,N,2
S,14,E,3
S,15,E,3
S,29,N,3
S,30,N,3
S,31,N,3
S,32,N,3
S,33,N,3
T,1,D,2
T,2,D,2
T,3,D,2
T,4,D,2
T,5,D,2
T,10,D,1
T,11,D,1
T,12,D,1
T,17,L,1
T,18,L,1
T,19,L,1
T,20,L,1
T,21,L,1
T,29,D,1
T,34,L,2
T,38,L,2
T,39,L,2
T,40,L,2
T,41,L,2
U,4,D,2
U,5,D,2
U,6,D,2
U,7,D,2
U,15,L,2
U,16,L,2
U,17,L,2
U,18,L,2
U,32,L,1
U,33,L,1
U,34,L,1
U,35,L,1
U,36,L,1
V,1,L,1
V,2,L,1
V,19,E,2
V,20,E,2
V,21,E,2
W,0,L,2
W,1,L,2
W,2,L,2
W,3,L,2
W,4,L,2
W,13,D,1
W,30,L,2
W,31,L,2
W,32,L,2
W,33,L,2
W,34,L,2
X,0,N,3
X,7,N,3
X,8,N,3
X,9,N,3
X,10,N,3
Y,1,E,3
Y,2,E,3
Z,1,E,1
Z,2,E,1
