# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
56

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
E,480,
D,480,E
L,480,E|D

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,E=56|D=56|L=56,16860,16380,5,2,2,4
B,E=56|D=56|L=56,16860,16380,5,2,2,4
C,E=56|D=0|L=56,16860,16380,5,2,2,4
D,E=56|D=56|L=0,16860,16380,5,2,2,4
E,E=0|D=56|L=56,16860,16380,5,2,2,4
F,E=56|D=56|L=56,16860,16380,5,2,2,4
G,E=0|D=0|L=56,16860,16380,5,2,2,4
H,E=56|D=56|L=56,16860,16380,5,2,2,4
I,E=0|D=56|L=0,16860,16380,5,2,2,4
J,E=0|D=56|L=56,16860,16380,5,2,2,4
K,E=56|D=56|L=56,16860,16380,5,2,2,4
L,E=0|D=56|L=0,16860,16380,5,2,2,4
M,E=0|D=0|L=56,16860,16380,5,2,2,4
N,E=56|D=56|L=56,16860,16380,5,2,2,4
O,E=56|D=56|L=56,16860,16380,5,2,2,4
P,E=0|D=56|L=56,16860,16380,5,2,2,4
Q,E=0|D=56|L=0,16860,16380,5,2,2,4
R,E=56|D=56|L=56,16860,16380,5,2,2,4
S,E=56|D=56|L=56,16860,16380,5,2,2,4
T,E=56|D=56|L=56,16860,16380,5,2,2,4

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A,32,33,34,35,52,53
B,2,3,4,5,6,49
C,23,24,25,26,27,33
D,15,16,17,18,19,20
E,6,7,8,9,10,11
F,37,38,39,40,41,42
G,32,33,34,35,54,55
H,15,16,17,23,24,25
I,17,18,19,20,21,22
J,34,35,36,37,38,39
K,23,24,25,26,27,28
L,15,16,17,23,26,37
M,46,47,48,49,50,51
N,27,28,29,41,42,55
O,13,26,27,28,29,30
P,31,32,44,49,50,51
Q,18,19,20,21,22,23
R,2,10,11,26,27,35
S,16,17,18,36,37,38
T,11,17,18,19,28,48

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,20,D,3
A,21,D,3
A,22,D,3
A,23,D,3
A,24,D,3
A,51,D,2
B,1,D,3
B,7,E,1
B,8,E,1
B,16,L,3
B,17,L,3
B,18,L,3
B,22,L,2
B,26,L,1
B,27,L,1
B,28,L,1
B,29,L,1
B,30,L,1
B,36,E,1
B,37,E,1
B,38,E,1
B,39,E,1
B,44,L,2
B,45,L,2
B,46,L,2
B,47,L,2
C,13,E,2
C,14,E,2
C,15,E,2
C,16,E,2
C,35,E,3
C,36,E,3
C,43,E,2
C,47,L,2
C,48,L,2
C,49,L,2
C,50,L,2
D,1,E,2
D,2,E,2
D,3,E,2
D,11,D,3
D,12,D,3
D,39,D,1
D,40,D,1
D,41,D,1
D,45,D,3
D,46,D,3
D,47,D,3
D,48,D,3
E,15,L,1
E,16,L,1
E,17,L,1
E,18,L,1
E,26,D,3
E,27,D,3
E,28,D,3
F,23,E,1
F,24,E,1
F,51,E,2
F,52,E,2
G,1,L,3
G,2,L,3
G,3,L,3
G,4,L,3
G,5,L,3
G,24,L,1
G,25,L,1
G,44,L,1
G,52,L,2
G,53,L,2
H,8,L,3
H,9,L,3
H,19,L,1
H,20,L,1
H,21,L,1
H,22,L,1
H,31,E,1
H,32,E,1
H,37,E,1
H,42,L,2
I,37,D,1
J,45,L,2
J,46,L,2
J,47,L,2
J,48,L,2
J,53,L,1
K,0,E,2
K,35,E,2
K,36,E,2
L,3,D,3
L,4,D,3
L,5,D,3
L,6,D,3
L,7,D,3
L,18,D,3
L,19,D,3
L,20,D,3
L,27,D,1
L,28,D,1
L,47,D,2
L,48,D,2
L,49,D,2
L,50,D,2
L,51,D,2
L,55,D,1
M,16,L,3
M,27,L,3
M,31,L,3
M,32,L,3
M,33,L,3
M,34,L,3
M,41,L,1
M,42,L,1
M,43,L,1
M,44,L,1
M,52,L,1
M,53,L,1
N,7,L,3
N,8,L,3
N,9,L,3
O,6,L,1
O,7,L,1
O,8,L,1
O,9,L,1
O,22,L,1
O,23,L,1
O,24,L,1
O,31,D,1
O,32,D,1
O,33,D,1
O,41,E,1
O,42,E,1
O,43,E,1
O,47,L,1
P,8,D,1
P,9,D,1
P,10,D,1
P,11,D,1
P,12,D,1
