# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
56

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
E,480,
D,480,E
L,480,E|D
N,480,E|D|L

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
B,E=56|D=0|L=56|N=0,17280,16800,5,2,2,4
C,E=56|D=56|L=0|N=10,17280,16800,5,2,2,4
D,E=56|D=56|L=56|N=0,17280,16800,5,2,2,4
E,E=56|D=56|L=0|N=10,17280,16800,5,2,2,4
F,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
G,E=56|D=0|L=56|N=10,17280,16800,5,2,2,4
H,E=56|D=0|L=56|N=0,17280,16800,5,2,2,4
I,E=56|D=56|L=0|N=0,17280,16800,5,2,2,4
J,E=56|D=56|L=56|N=0,17280,16800,5,2,2,4
K,E=56|D=56|L=0|N=10,17280,16800,5,2,2,4
L,E=56|D=0|L=56|N=10,17280,16800,5,2,2,4
M,E=56|D=56|L=56|N=0,17280,16800,5,2,2,4
N,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
O,E=56|D=0|L=0|N=10,17280,16800,5,2,2,4
P,E=0|D=56|L=56|N=10,17280,16800,5,2,2,4
Q,E=56|D=0|L=56|N=10,17280,16800,5,2,2,4
R,E=56|D=56|L=0|N=10,17280,16800,5,2,2,4
S,E=56|D=56|L=56|N=0,17280,16800,5,2,2,4
T,E=56|D=0|L=56|N=10,17280,16800,5,2,2,4
U,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
V,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
W,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
X,E=56|D=56|L=56|N=0,17280,16800,5,2,2,4
Y,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
Z,E=56|D=0|L=0|N=10,17280,16800,5,2,2,4
AA,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
AB,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
AC,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
AD,E=56|D=56|L=56|N=10,17280,16800,5,2,2,4
AE,E=56|D=56|L=56|N=10,16200,15720,4,2,2,4
AF,E=56|D=56|L=56|N=10,16200,15720,4,2,2,4

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A,24,25,35,36,37
B,0,1,25,39,52
C,13,14,38,49,50
D,34,35,36,37,38
E,19,20,31,32,48
F,6,7,8,33,53
G,14,15,16,43,44
H,5,6,7,15,34
I,19,20,21,48,49
J,18,19,20,21,24
K,3,4,15,41,42
L,27,28,29,30,40
M,20,21,52,53,54
N,4,5,6,7,12
O,2,3,4,5,6
P,31,44,45,46,47
Q,2,6,7,43,44
R,48,49,50,51,52
S,21,22,23,37,38
T,8,9,10,11,20
U,5,6,7,41,42
V,5,29,30,31,32
W,6,7,8,9,10
X,9,10,11,12,13
Y,24,25,26,27,28
Z,4,22,41,42,43
AA,10,25,26,27,35
AB,1,2,3,53,54
AC,32,33,34,35,36
AD,25,26,40,41,42
AE,4,5,6,7,34
AF,27,28,29,52,53

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,41,E,3
A,49,D,2
A,50,D,2
A,51,D,2
A,52,D,2
A,53,D,2
B,15,E,3
B,16,E,3
B,41,E,2
B,42,E,2
B,43,E,2
B,44,E,2
B,45,E,2
B,53,E,2
B,54,E,2
C,22,N,2
C,23,N,2
C,24,N,2
C,25,N,2
C,39,N,3
C,40,N,3
C,41,N,3
C,42,N,3
D,7,L,3
D,8,L,3
D,24,E,2
D,51,D,1
D,52,D,1
D,53,D,1
E,11,D,1
E,12,D,1
E,13,D,1
E,14,D,1
E,15,D,1
E,22,N,1
E,34,N,1
E,35,N,1
E,36,N,1
E,53,N,2
F,0,L,2
F,1,L,2
F,5,D,1
F,13,E,1
F,14,E,1
F,15,E,1
G,17,L,1
G,21,L,1
G,22,L,1
G,23,L,1
G,24,L,1
G,25,L,1
G,46,E,2
G,47,E,2
G,48,E,2
G,49,E,2
G,50,E,2
H,17,L,1
H,18,L,1
H,19,L,1
H,20,L,1
H,21,L,1
H,32,L,3
H,33,L,3
H,38,L,3
H,39,L,3
H,40,L,3
H,41,L,3
H,42,L,3
I,2,E,1
I,3,E,1
I,4,E,1
I,10,D,3
I,11,D,3
I,12,D,3
I,13,D,3
I,23,E,1
I,24,E,1
I,25,E,1
I,51,E,2
I,52,E,2
I,53,E,2
I,54,E,2
I,55,E,2
J,3,L,1
J,12,E,2
J,13,E,2
J,42,E,3
J,49,D,2
J,50,D,2
K,5,D,1
K,17,N,3
K,18,N,3
K,23,D,1
K,24,D,1
K,28,E,2
K,29,E,2
K,30,E,2
K,31,E,2
K,50,N,2
K,51,N,2
K,52,N,2
K,53,N,2
K,54,N,2
L,41,N,1
L,42,N,1
L,43,N,1
L,44,N,1
L,49,L,1
L,50,L,1
L,51,L,1
M,3,E,1
M,4,E,1
M,12,L,2
M,13,L,2
M,14,L,2
M,15,L,2
M,41,D,2
M,42,D,2
M,47,L,3
M,48,L,3
M,49,L,3
N,15,D,3
N,16,D,3
N,22,L,1
N,23,L,1
N,24,L,1
N,25,L,1
N,26,L,1
N,31,L,1
N,32,L,1
N,33,L,1
N,34,L,1
N,35,L,1
O,33,E,1
O,34,E,1
O,35,E,1
O,36,E,1
O,42,N,1
O,43,N,1
O,44,N,1
O,45,N,1
O,46,N,1
O,50,E,2
O,51,E,2
P,0,D,1
P,1,D,1
P,2,D,1
P,3,D,1
P,8,D,3
P,9,D,3
P,10,D,3
P,11,D,3
P,22,L,3
P,23,L,3
P,24,L,3
P,25,L,3
Q,19,E,2
Q,20,E,2
Q,27,E,2
Q,28,E,2
Q,29,E,2
Q,30,E,2
Q,45,L,3
Q,46,L,3
R,0,D,3
R,1,D,3
R,2,D,3
R,7,E,3
R,15,N,2
R,16,N,2
R,17,N,2
R,25,N,1
R,26,N,1
R,27,N,1
R,31,E,1
R,32,E,1
R,33,E,1
R,34,E,1
R,35,E,1
S,17,E,3
S,18,E,3
S,25,L,3
S,26,L,3
S,27,L,3
T,0,E,2
T,1,E,2
T,2,E,2
T,12,N,2
T,13,N,2
T,14,N,2
T,29,N,2
T,30,N,2
U,12,L,1
U,13,L,1
U,14,L,1
U,15,L,1
U,29,E,3
U,34,L,2
U,35,L,2
U,36,L,2
U,40,N,2
U,44,E,1
U,45,E,1
U,46,E,1
U,47,E,1
U,48,E,1
V,11,N,1
V,12,N,1
V,16,E,1
V,17,E,1
V,18,E,1
V,19,E,1
