# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
84

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
E,480,
D,480,E
L,480,E|D

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,E=0|D=84|L=43,25920,24960,5,2,2,6
B,E=84|D=0|L=43,25920,24960,5,2,2,6
C,E=84|D=84|L=43,25920,24960,5,2,2,6
D,E=84|D=84|L=0,25920,24960,5,2,2,6
E,E=0|D=84|L=43,25920,24960,5,2,2,6
F,E=0|D=84|L=43,25920,24960,5,2,2,6
G,E=84|D=84|L=43,25920,24960,5,2,2,6
H,E=84|D=84|L=43,25920,24960,5,2,2,6
I,E=84|D=84|L=43,25920,24960,5,2,2,6
J,E=84|D=84|L=43,25920,24960,5,2,2,6
K,E=84|D=84|L=43,25920,24960,5,2,2,6
L,E=84|D=84|L=43,25920,24960,5,2,2,6
M,E=0|D=84|L=43,25920,24960,5,2,2,6
N,E=84|D=84|L=43,25920,24960,5,2,2,6
O,E=84|D=84|L=0,25920,24960,5,2,2,6
P,E=84|D=84|L=43,25920,24960,5,2,2,6
Q,E=84|D=0|L=43,25920,24960,5,2,2,6
R,E=84|D=84|L=43,25920,24960,5,2,2,6
S,E=0|D=84|L=0,24300,23340,4,2,2,6
T,E=84|D=84|L=0,24300,23340,4,2,2,6
U,E=84|D=84|L=40,24300,23340,4,2,2,6
V,E=0|D=84|L=40,24300,23340,4,2,2,6

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
A,31,32,33,34,35,36,37,38
B,23,33,38,39,40,41,56,61
C,55,56,57,58,59,60,61,76
D,15,16,17,18,19,20,21,22
E,23,24,25,26,63,67,68,78
F,17,18,37,38,39,40,60,81
G,12,13,14,15,16,17,18,31
H,2,3,4,11,30,49,50,51
I,30,31,32,33,34,35,36,37
J,4,5,6,7,8,9,10,14
K,37,38,39,40,41,75,76,77
L,20,21,22,42,43,44,45,46
M,19,20,38,39,40,52,53,54
N,8,52,53,54,55,69,70,71
O,5,25,49,50,51,52,53,54
P,32,57,58,59,70,71,72,73
Q,53,54,55,56,57,66,78,79
R,26,27,28,29,30,31,32,33
S,31,32,33,34,35,36,37,38
T,32,39,40,41,52,53,54,55
U,9,10,11,12,13,48,49,50
V,16,46,47,48,49,50,51,52

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
A,17,L,2
A,18,L,2
A,19,L,2
A,20,L,2
A,21,L,2
A,49,L,2
A,50,L,2
A,51,L,2
A,52,L,2
A,58,D,1
A,59,D,1
A,60,D,1
A,61,D,1
A,62,D,1
A,66,L,3
A,67,L,3
A,68,L,3
B,8,L,2
B,9,L,2
B,10,L,2
B,11,L,2
B,12,L,2
B,16,E,2
B,17,E,2
B,18,E,2
B,42,L,2
C,28,E,3
C,29,E,3
C,34,D,1
C,35,D,1
C,40,D,2
C,67,E,3
C,72,L,2
C,80,L,1
C,81,L,1
C,82,L,1
D,1,D,2
D,9,E,2
D,10,E,2
D,11,E,2
D,12,E,2
D,13,E,2
D,23,E,3
D,24,E,3
D,25,E,3
D,33,E,3
D,34,E,3
D,39,D,3
D,40,D,3
D,41,D,3
D,58,E,2
D,59,E,2
D,60,E,2
D,61,E,2
D,62,E,2
D,70,E,1
D,71,E,1
E,3,D,3
E,11,D,1
E,12,D,1
E,13,D,1
E,34,L,2
E,35,L,2
E,36,L,2
E,41,L,1
E,58,L,2
E,59,L,2
E,60,L,2
E,71,D,3
E,72,D,3
E,73,D,3
E,80,L,2
E,81,L,2
E,82,L,2
F,21,L,3
F,22,L,3
F,23,L,3
F,24,L,3
F,29,D,2
F,53,L,3
F,54,L,3
F,55,L,3
F,56,L,3
F,74,D,1
F,75,D,1
F,76,D,1
G,19,E,1
G,20,E,1
G,21,E,1
G,22,E,1
G,26,E,3
G,38,L,1
G,39,L,1
G,45,L,2
G,46,L,2
G,47,L,2
G,48,L,2
G,49,L,2
G,63,E,2
H,23,L,3
H,24,L,3
H,44,E,1
H,45,E,1
H,46,E,1
H,52,L,3
H,68,D,3
H,69,D,3
H,76,D,3
I,50,E,3
I,58,E,1
I,59,E,1
I,60,E,1
I,61,E,1
I,62,E,1
I,71,L,3
I,72,L,3
I,76,D,1
I,77,D,1
J,0,D,1
J,12,D,2
J,13,D,2
J,31,E,2
J,32,E,2
J,33,E,2
J,34,E,2
J,54,L,2
J,59,L,3
J,60,L,3
J,61,L,3
J,62,L,3
J,73,E,3
J,74,E,3
J,75,E,3
J,76,E,3
J,77,E,3
K,9,L,2
K,10,L,2
K,11,L,2
K,12,L,2
K,20,D,1
K,21,D,1
K,22,D,1
K,23,D,1
K,43,L,2
K,44,L,2
K,55,E,1
K,56,E,1
K,57,E,1
K,58,E,1
K,63,D,3
K,64,D,3
K,69,D,1
K,70,D,1
K,83,L,2
L,1,L,3
L,2,L,3
L,3,L,3
L,4,L,3
L,5,L,3
L,12,E,1
L,13,E,1
